time,magmean,max,min,hor,ver,horabs,verabs
20220125_140253,0.080498865,0.440987587,0.000164349,-0.014881724,0.035608187,0.046641104,0.05530471
20220125_140255,0.079919917,0.471027046,7.18E-05,-0.036908448,-0.002881025,0.05609319,0.046082675
20220125_140256,0.080444878,0.564858139,0.000103436,-0.03533808,0.003220986,0.0535169,0.048329648
20220125_140257,0.076823912,0.694730282,4.95E-05,-0.033998158,0.013977816,0.05032202,0.04691403
20220125_140257,0.095918424,0.589903951,0.000310011,-0.063939966,-0.023162369,0.07192204,0.049463823
20220125_140258,0.087616174,0.569272637,0.000125007,-0.04926136,-0.023943448,0.063557304,0.04747995
20220125_140259,0.10253136,0.469521165,5.63E-05,-0.06906395,-0.028190158,0.07650263,0.054247785
20220125_140259,0.095045235,0.453341097,7.89E-05,-0.062485583,-0.021679942,0.072387666,0.048370697
20220125_140300,0.093483508,0.607110262,7.85E-05,-0.0599119,-0.016270505,0.0707328,0.04828246
20220125_140300,0.085073462,0.387521565,7.97E-05,-0.044922616,-0.014992774,0.06089229,0.04763779
20220125_140301,0.084190825,0.53827858,0.000235178,-0.049185917,-0.018306589,0.059921257,0.047526084
20220125_140301,0.09580957,0.752553225,0.000175676,-0.06180725,-0.025469387,0.07034432,0.05061125
20220125_140302,0.093600496,0.456641465,0.000141031,-0.060244884,-0.021231594,0.07028504,0.048300438
20220125_140302,0.08804925,0.470660865,6.25E-05,-0.056425903,-0.005944819,0.06714398,0.04440028
20220125_140303,0.093349149,0.453886569,0.000180173,-0.06328493,0.006157973,0.070858225,0.046912044
20220125_140303,0.091436157,0.80954951,3.91E-05,-0.05773673,0.010804115,0.06721789,0.04842054
20220125_140304,0.07591639,0.572172403,0.000109982,-0.029311266,0.007675156,0.04756256,0.048470277
20220125_140304,0.088482913,0.605463803,5.62E-05,-0.051897343,-0.024142392,0.06385407,0.04964934
20220125_140304,0.094525621,0.863450885,0.000289354,-0.047076322,-0.045626525,0.061265033,0.05939927
20220125_140305,0.099765013,0.415217012,0.000122459,-0.06207227,-0.038968407,0.07194028,0.055843554
20220125_140305,0.100422102,0.537768066,6.15E-05,-0.06492355,-0.02830951,0.07504917,0.052665625
20220125_140307,0.086570771,0.461425662,0.000119027,-0.046382856,0.008094638,0.061044227,0.049477678
20220125_140307,0.103342908,0.470576495,0.000139264,-0.07904265,-0.016580407,0.08406776,0.045767754
20220125_140308,0.096262972,0.641253829,8.46E-05,-0.06284623,-0.01679932,0.0733953,0.047956377
