time,,,,hor,,horabs,,,,,hor-,horabs-
20220125_153032,0.106963533,0.603975415,0.000206336,0.005771824,0.011390618,0.067785755,0.068634145,,,0.00642443,-0.000652176,0.001795376
20220125_153034,0.112939316,0.629926503,0.000242139,0.017421043,0.02345088,0.0708861,0.072890915,,,0.065990379,0.010997043,0.004895721
20220125_153035,0.114926658,0.642703652,0.000151373,0.027725901,0.027383456,0.06916505,0.07648715,,,,0.021301901,0.003174671
20220125_153035,0.119457778,0.582963943,0.000188599,0.016951963,0.05355306,0.06774213,0.08382563,,,,0.010527963,0.001751751
20220125_153036,0.12962569,0.675000787,0.00023975,0.006830179,0.0758135,0.06635944,0.09839524,,,,0.000406179,0.000369061
20220125_153037,0.119422148,0.638835371,0.000106019,0.027290381,0.04466073,0.07236942,0.08001551,,,,0.020866381,0.006379041
20220125_153037,0.119159695,0.75125879,0.000493003,0.005347075,0.04971694,0.067903906,0.08336761,,,,-0.001076925,0.001913527
20220125_153037,0.121378365,0.917202294,7.55E-05,0.019263446,0.05405117,0.06268895,0.09015807,,,,0.012839446,-0.003301429
20220125_153038,0.128209934,0.582624853,0.000197928,0.026570259,0.073836215,0.066460125,0.09617004,,,,0.020146259,0.000469746
20220125_153038,0.129155417,0.603984892,0.0004172,0.025642212,0.065761544,0.06961511,0.09431774,,,,0.019218212,0.003624731
20220125_153039,0.114237421,0.573343694,7.43E-06,-0.009453271,0.029164279,0.065925755,0.07824925,,,,-0.015877271,-6.46244E-05
20220125_153039,0.114730912,0.813325047,0.000223754,0.014405408,0.026032059,0.06616834,0.079446435,,,,0.007981408,0.000177961
20220125_153040,0.111333055,0.54427886,0.000181373,0.000790825,0.023542091,0.06806205,0.07275568,,,,-0.005633175,0.002071671
20220125_153040,0.116362581,1.003246784,0.000201796,-0.00586881,0.04629505,0.063903175,0.08270795,,,,-0.01229281,-0.002087204
20220125_153041,0.112989352,0.619106889,0.00021394,0.021157688,0.025937255,0.06987311,0.07332324,,,,0.014733688,0.003882731
20220125_153043,0.110173092,0.672312677,1.84E-06,-0.002966918,0.02998739,0.062416628,0.0772227,,,,-0.009390918,-0.003573751
20220125_153043,0.124946729,0.54857415,0.000206915,0.004262057,0.05958618,0.068276726,0.09095337,,,,-0.002161943,0.002286347
20220125_153044,0.117685192,0.962663949,0.00035265,-0.002993771,0.052030638,0.064952284,0.0849173,,,,-0.009417771,-0.001038095
20220125_153044,0.138183795,1.582101822,0.000502279,0.009600021,0.08178778,0.064628154,0.10941413,,,,0.003176021,-0.001362225
20220125_153045,0.124737971,0.565801322,0.000207478,0.017732749,0.06342923,0.065562636,0.09221755,,,,0.011308749,-0.000427743
20220125_153045,0.122646872,0.569915771,0.00019347,0.018380094,0.05762838,0.06976894,0.08634964,,,,0.011956094,0.003778561
20220125_153045,0.137759766,0.961158514,0.000619724,0.015985327,0.089248344,0.06629845,0.107231714,,,,0.009561327,0.000308071
20220125_153046,0.123643827,0.944985151,0.000116759,0.013753703,0.06594445,0.06500833,0.09178706,,,,0.007329703,-0.000982049
