time,,,,hor,,horabs,,,horabs,
20220125_154258,0.094343737,0.598027349,1.72E-05,-0.018112423,-0.011395485,0.058257833,0.060991745,,-0.006392167,
20220125_154300,0.104764758,0.517078221,0.000154684,-0.041754734,-0.002459323,0.07115756,0.061730523,0.064649646,0.00650756,
20220125_154300,0.106986524,0.5266487,7.26E-05,-0.041806463,-0.014578907,0.070768066,0.06544594,,0.006118066,
20220125_154301,0.104294822,0.643669307,0.000129613,-0.042181086,0.003648932,0.06907592,0.064000025,,0.00442592,
20220125_154302,0.106728639,0.541649461,7.18E-05,-0.04734209,-0.009803973,0.07494365,0.059921373,,0.01029365,
20220125_154302,0.100148049,0.640571475,0.000101899,-0.024112258,0.023280697,0.062442314,0.06525641,,-0.002207686,
20220125_154303,0.102479295,0.501739085,7.83E-05,-0.014181681,0.035578407,0.06015005,0.069367245,,-0.00449995,
20220125_154303,0.102685075,0.483488172,6.58E-05,0.000935905,0.050179686,0.055089165,0.07559227,,-0.009560835,
20220125_154304,0.105325805,0.562724054,0.000152856,-0.026716802,0.030858655,0.06564594,0.06793349,,0.00099594,
20220125_154304,0.099460987,0.701701641,0.000183999,-0.0268993,0.005827327,0.06402069,0.062006574,,-0.00062931,
20220125_154304,0.099879901,0.548520923,0.000179932,-0.001898441,0.029332824,0.06306561,0.063939214,,-0.00158439,
20220125_154305,0.102034097,0.553084552,0.000274485,-0.022794265,0.017204875,0.06448197,0.066117354,,-0.00016803,
20220125_154305,0.098262231,0.576186359,0.000236178,-0.010304644,0.02502682,0.060003962,0.0654237,,-0.004646038,
20220125_154306,0.100410098,0.52150476,0.000292336,-0.005050749,0.036338203,0.06012663,0.06807464,,-0.00452337,
20220125_154306,0.09807434,0.610533118,6.27E-05,-0.020219717,0.014585178,0.06173114,0.0635271,,-0.00291886,
20220125_154307,0.10834315,0.523208559,0.000217373,-0.05000719,-0.024577757,0.07202674,0.06603769,,0.00737674,
20220125_154307,0.106183449,0.831525564,0.000144448,-0.04276411,-0.020739537,0.06940823,0.06578903,,0.00475823,
20220125_154311,0.096601198,0.5262658,0.000112577,-0.024691127,0.006588144,0.06236209,0.060685538,,-0.00228791,
20220125_154311,0.101654871,0.671964943,0.000255894,-0.030222677,-0.019471416,0.06358571,0.06509734,,-0.00106429,
20220125_154311,0.100209501,0.499287397,0.000264888,-0.035151947,-0.017254453,0.06556555,0.061414436,,0.00091555,
20220125_154312,0.100813125,0.561527312,8.16E-05,-0.034329195,-0.011625344,0.06512042,0.06352555,,0.00047042,
20220125_154312,0.100866524,0.598583639,0.000155991,-0.028023485,0.017515896,0.063118294,0.06552275,,-0.001531706,
20220125_154313,0.101742156,0.603895962,8.25E-05,-0.038561758,0.006088318,0.069854654,0.059838846,,0.005204654,
20220125_154313,0.100561573,0.496998847,0.000101088,0.000338617,0.03804501,0.059504304,0.069002286,,-0.005145696,
20220125_154314,0.11210938,0.472463131,0.000103613,-0.006606523,0.060176086,0.06062062,0.081484534,,-0.00402938,
20220125_154314,0.103199861,0.664148569,8.21E-05,-0.004075516,0.03541952,0.05852807,0.07334199,,-0.00612193,
20220125_154314,0.097074692,0.468910694,0.000194387,-0.008594712,0.017829495,0.06028678,0.06370657,,-0.00436322,
20220125_154315,0.099315346,0.534049928,0.000189808,-0.015808249,0.03624444,0.059619855,0.06738719,,-0.005030145,
20220125_154315,0.108544047,0.518829584,0.000271049,-0.04490638,-0.003745667,0.07396771,0.06364143,,0.00931771,
20220125_154316,0.103257288,0.525676072,0.000258469,-0.043216217,0.002249871,0.06986458,0.062136568,,0.00521458,
20220125_154316,0.106822899,0.577253163,3.38E-05,-0.04801259,-0.000699735,0.07156517,0.06392438,,0.00691517,
20220125_154316,0.140145882,0.636221647,0.00028848,-0.08804984,-0.06349107,0.09935229,0.08170963,,0.03470229,
20220125_154317,0.121079656,0.48395136,0.000292173,-0.06736163,-0.04421903,0.084406145,0.06924275,,0.019756145,
20220125_154317,0.145815812,0.549570441,0.000321162,-0.07609728,-0.080253206,0.09460976,0.09382643,,0.02995976,
20220125_154318,0.133161089,0.618894875,0.000464065,-0.08475861,-0.03373933,0.09969139,0.069330364,,0.03504139,
20220125_154318,0.151397774,0.599786162,0.00018978,-0.0976576,-0.062075466,0.112737924,0.0812011,,0.048087924,
20220125_154318,0.143956152,0.512995422,0.000212929,-0.08889283,-0.06564137,0.10115876,0.084263094,,0.03650876,
20220125_154319,0.119970914,0.494078964,0.000310822,-0.06815503,-0.024891913,0.0836604,0.06787507,,0.0190104,
20220125_154319,0.100234665,0.508942842,0.000149154,-0.025449125,0.017899107,0.060976982,0.06614724,,-0.003673018,
20220125_154320,0.098239093,0.490852356,0.000297056,-0.027360993,0.013832693,0.06280476,0.062311843,,-0.00184524,
20220125_154320,0.10227239,0.536462247,0.000198949,-0.034430634,0.01780624,0.067361616,0.06278279,,0.002711616,
20220125_154320,0.109162077,0.621153533,0.000243659,-0.018254815,0.054140523,0.06276307,0.07637625,,-0.00188693,
20220125_154321,0.11106842,0.673321068,0.000164501,-0.028548082,0.058235362,0.0629928,0.07867636,,-0.0016572,
