time,magmean,magmax,magmin,hor,ver,hor1,ver1
20220215_154821,0.148694849,0.73826313,0.000136183,0.00544267,-0.004301331,0.0923084,0.097777486
20220215_154821,0.149197046,1.044478416,0.000544319,-0.021075571,-0.032184076,0.088876784,0.09954083
20220215_154822,0.160994508,0.673936546,0.000247109,-0.007444962,-0.06999668,0.09492925,0.110674314
20220215_154823,0.17158155,0.671691895,0.00013094,-0.05225419,-0.061628204,0.105577186,0.113386996
20220215_154824,0.158520648,0.588480413,0.00022851,-0.037968505,-0.03668772,0.10107172,0.100554064
20220215_154824,0.147725354,0.742505372,8.67E-05,-0.016649552,-0.027536893,0.09172581,0.095790446
20220215_154825,0.154726121,0.605178058,0.000266415,-0.04469383,0.002946921,0.0995735,0.096889965
20220215_154825,0.152587338,0.652966559,0.000224208,-0.031828973,-0.005957093,0.09667576,0.09697747
20220215_154826,0.149306754,0.593623459,0.00011732,0.014002447,0.009467217,0.0939182,0.09629306
20220215_154826,0.147615762,0.704425156,0.000292281,0.02619256,0.025505172,0.09023615,0.0971617
20220215_154828,0.146552458,0.550310552,0.000197484,-0.008269093,0.008222703,0.09362856,0.09303579
20220215_154828,0.151654673,0.705780923,0.000561718,-0.03647373,-0.01948057,0.09789718,0.09368204
20220215_154829,0.150078168,0.525417745,0.000304575,-0.036152035,-0.00607335,0.091750234,0.09934362
20220215_154829,0.152203605,0.627464473,0.000177404,-0.03393931,-0.007796184,0.10034958,0.094162054
20220215_154829,0.150189082,0.533784449,0.000123176,-0.004168361,0.019177914,0.09421448,0.09762099
20220215_154830,0.152786987,0.762436569,0.000383664,-0.028058296,-0.010675495,0.09619162,0.09913194
20220215_154830,0.15579116,0.599370658,0.000323975,-0.04268928,0.012419368,0.09932196,0.098217495
20220215_154831,0.159038736,0.657797635,0.000225591,-0.052994598,-0.001989344,0.10346667,0.099811725
20220215_154831,0.151421591,0.653503239,0.000420892,-0.041654024,-0.004356428,0.09703942,0.09433112
20220215_154832,0.145107942,0.547031522,0.000202171,0.021442348,-0.00703969,0.09310075,0.09016892
20220215_154832,0.150785677,0.796878338,0.000377395,-0.002889956,-0.018097471,0.09059314,0.10113983
20220215_154833,0.148946481,0.568315864,0.000308652,-0.016409798,-0.007768767,0.09312793,0.09566208
20220215_154833,0.151690463,0.58735019,0.000532237,-0.026351895,0.02031041,0.09190121,0.09906763
20220215_154834,0.157043793,0.832984209,0.000182173,-0.025796764,0.016571756,0.09143517,0.10657813
20220215_154834,0.158835119,0.606821239,9.20E-05,-0.024598027,-0.03044522,0.098964676,0.10228403
20220215_154834,0.151218468,0.663165033,0.000215592,-0.004404751,0.011027976,0.0912319,0.099825196
20220215_154835,0.152068903,0.990863085,0.00059487,-0.007404435,0.005893806,0.097157314,0.09669392
20220215_154835,0.147373794,0.650093853,0.000297385,-0.009854725,0.012211506,0.092380464,0.09449881
20220215_154836,0.146380316,0.714200377,0.000317771,-0.027778352,0.006768635,0.088254,0.09842822
20220215_154836,0.15558675,0.916050553,0.000173885,-0.0189321,-0.012181908,0.09742933,0.10067036
20220215_154837,0.151903121,0.970957935,0.000180767,-0.04589941,0.002454589,0.095720865,0.096701354
