time,magmean,magmax,magmin,hor,ver,horabs,verabs
20220216_112645,0.106488599,0.568211555,0.000254647,0.024663117,0.03461093,0.06403698,0.070641294
20220216_112646,0.108794389,0.464529604,0.000240137,0.024729278,0.043091398,0.066181466,0.071671255
20220216_112647,0.105817419,0.600708544,0.000123857,0.008652132,-0.023720104,0.06561894,0.0687174
20220216_112647,0.105040386,0.580958247,9.71E-05,0.00418449,0.030796964,0.063405834,0.06958012
20220216_112648,0.101862754,0.585318744,0.000123326,-0.002177851,0.002818713,0.064615585,0.06516372
20220216_112649,0.102632198,0.519349396,4.19E-05,-0.007975868,-0.019703297,0.06498995,0.06632149
20220216_112649,0.110527337,0.621632695,0.000100754,-0.014632419,-0.040293034,0.06540314,0.07398777
20220216_112650,0.097987272,1.481187463,0.000234886,-0.00080092,0.010057889,0.062892735,0.061405364
20220216_112650,0.098615976,0.520213842,7.48E-05,0.008477191,-0.004146533,0.061994858,0.06301028
20220216_112651,0.105115885,0.636003375,0.000317401,-0.03134547,-0.03228624,0.06674221,0.06690008
20220216_112651,0.101092283,0.49584645,0.000127989,0.000788103,-0.004160422,0.06552028,0.063553885
20220216_112652,0.101370518,0.600704372,0.000212604,-0.016603451,-0.007309325,0.064318724,0.06416995
20220216_112652,0.100543537,0.533070326,0.000134599,-0.003220526,-0.022412477,0.06551877,0.06236347
20220216_112653,0.100126814,0.647556543,0.000288215,0.015585808,0.025265966,0.06027892,0.06625928
20220216_112653,0.109815852,0.519129217,0.000204507,0.015787441,0.043383874,0.06859291,0.07075756
20220216_112654,0.095474974,0.592027724,8.89E-05,-6.28E-05,0.01083761,0.05794624,0.06316515
20220216_112654,0.100488784,1.128040314,2.25E-05,-0.00220219,0.01659241,0.060822267,0.066493645
20220216_112655,0.10542913,0.800845504,8.92E-05,-0.014802752,-0.037193466,0.064736985,0.069461055
20220216_112655,0.119137371,0.512166679,0.000111791,-0.022534806,-0.055814765,0.06528417,0.08648996
20220216_112656,0.119800654,0.625658393,0.000238246,-0.03550226,-0.06731849,0.06752963,0.08393496
20220216_112657,0.116289697,0.522197187,4.46E-05,-0.03330448,-0.045584876,0.07263935,0.07494343
20220216_112657,0.110178968,0.748209417,0.000179491,-0.016777012,-0.04151517,0.066579446,0.072230004
20220216_112658,0.096894277,0.632994592,0.000105636,-0.004855251,-0.016197886,0.060192917,0.06355899
20220216_112658,0.104911946,0.736624897,6.44E-05,-0.008821889,-0.025384555,0.06586216,0.067555115
20220216_112659,0.096802416,0.439975917,7.81E-05,-0.010489228,0.00192798,0.0633873,0.05982105
20220216_112659,0.102704965,0.711473167,0.000134337,-0.017139789,-0.015455997,0.06542679,0.06509113
20220216_112700,0.106556104,0.759953976,6.74E-05,-0.014581572,-0.034007285,0.06430218,0.07029345
20220216_112700,0.111367786,0.80543232,0.000464095,-0.03261267,-0.040393047,0.06516216,0.07594991
20220216_112700,0.116307239,0.918233097,0.000157373,-0.024955004,-0.05158079,0.069354326,0.07782291
20220216_112701,0.099142353,0.466964185,0.000402836,-0.00280119,-0.028415198,0.05822503,0.06758722
20220216_112701,0.10915217,0.492797822,2.41E-05,-0.01358272,-0.039413232,0.06608317,0.07255892
20220216_112702,0.11792837,1.027279615,8.59E-05,-0.031483073,-0.05243347,0.06926586,0.08086834
20220216_112702,0.113445285,0.724696636,0.000170829,-0.03303059,-0.038212623,0.06957772,0.074750446
20220216_112703,0.101758174,0.625150681,0.000201357,-0.009656566,-0.018522052,0.06290849,0.06562204
20220216_112703,0.101544681,1.079191446,8.83E-05,-0.033265606,-0.006748916,0.06723308,0.06165956
20220216_112704,0.104560102,0.600630343,0.000230343,-0.02661901,-0.00472849,0.0679578,0.06488638
20220216_112704,0.100932118,0.63921833,9.43E-05,-0.015256971,-0.013254833,0.06296156,0.065378666
20220216_112705,0.09761186,0.499409229,9.24E-05,-0.014560258,-0.006570179,0.062809035,0.061444294
20220216_112705,0.106376842,0.577466905,8.11E-05,-0.025006946,-0.020429296,0.06996942,0.06547164
20220216_112706,0.112315141,0.525942028,0.000242837,-0.049612608,-0.013798341,0.0772031,0.065885864
20220216_112706,0.110415878,0.522588789,0.000281691,-0.035264958,-0.026555538,0.07384353,0.067265846
20220216_112707,0.105433631,0.782240629,0.00020401,-0.032849193,-0.020142836,0.068761066,0.06523209
20220216_112707,0.104782176,0.524327517,0.000143157,-0.024090722,0.023880932,0.06798586,0.06525974
20220216_112708,0.105164684,0.549448431,0.000102702,-0.035190426,-0.026732737,0.06884743,0.06489672
20220216_112708,0.099656383,0.584213614,7.22E-05,-0.011202065,-0.022993293,0.06290912,0.06455631
20220216_112709,0.103494887,0.635055423,0.000188555,-0.035476,-0.015442418,0.068925604,0.06272515
20220216_112709,0.104483886,0.702312529,0.000231103,-0.025163848,-0.020239947,0.063272364,0.06844828
20220216_112710,0.098947487,0.423619509,0.000122057,-0.021139592,-0.003505258,0.06526603,0.060478993
20220216_112710,0.105201363,0.564929903,0.000118654,-0.025475206,-0.030638166,0.06833272,0.06516757
20220216_112711,0.112493734,0.589875758,0.000261232,-0.034558497,-0.042609703,0.070867226,0.071911454
20220216_112711,0.106203256,0.612570524,0.000244729,-0.001406316,0.02486516,0.06623644,0.06871321
20220216_112712,0.10464362,0.868679821,0.000176701,-0.014218823,-0.023731539,0.06598535,0.06762309
20220216_112712,0.104953137,0.840180457,0.000224473,-0.015901696,-0.031071352,0.06515644,0.06961653
20220216_112713,0.107516473,0.624290943,0.000146094,-0.023649188,-0.048422698,0.06373655,0.072767526
20220216_112713,0.105748578,0.952995539,0.000147979,-0.03602609,-0.017813725,0.0694161,0.0639362
20220216_112714,0.120622825,0.616428614,7.24E-05,-0.055295378,-0.044334214,0.078434564,0.075945415
20220216_112714,0.113325496,0.748571157,0.00018408,-0.050253514,-0.01908551,0.080012,0.06399974
20220216_112715,0.11772043,1.314528108,0.000124872,-0.056803923,-0.028523998,0.07939627,0.07095223
20220216_112715,0.105304077,0.848356247,0.000219269,-0.020820204,-0.001372336,0.06795905,0.06666201
20220216_112716,0.126473287,0.750880897,0.000172716,-0.07049409,-0.022371802,0.093049526,0.06776642
20220216_112716,0.111893967,0.599209487,9.48E-05,-0.044999722,0.000447246,0.074588954,0.06728524
20220216_112717,0.109492498,0.507001162,0.000153983,-0.053454693,-0.024182098,0.077013955,0.061231047
20220216_112717,0.109872256,0.505038083,0.000274971,-0.02813153,0.030389618,0.069654346,0.07059493
20220216_112718,0.103020166,0.592984498,0.000245075,-0.03891518,-0.001671158,0.07162536,0.058747757
20220216_112718,0.10231193,0.483364761,0.000177808,-0.026833277,0.006349656,0.07012806,0.060326114
20220216_112719,0.119690419,0.656659365,9.79E-05,-0.051683843,0.019035881,0.08188462,0.070360735
20220216_112719,0.104468274,0.5134027,0.000153207,-0.03931674,0.011361592,0.06791694,0.06447593
20220216_112720,0.110385018,0.832511723,0.00021394,-0.034656316,0.005383612,0.0718329,0.06858711
20220216_112720,0.104812114,0.568489909,0.000304967,-0.028295318,0.000883939,0.06923971,0.06447785
20220216_112721,0.100853929,0.932587981,0.000185854,-0.005509344,0.020408427,0.060282636,0.067166485
20220216_112721,0.101708035,0.803861141,0.000173316,-0.016833985,0.008042875,0.06340563,0.06554432
20220216_112722,0.10790643,0.572975039,8.36E-05,-0.034100045,-0.003455898,0.07259175,0.06415713
20220216_112722,0.102823188,0.493558437,0.000164128,-0.021951137,-0.001710759,0.0674904,0.06306496
20220216_112723,0.106361975,1.126753449,0.000150142,-0.032185778,-0.014079876,0.06966405,0.0649473
20220216_112723,0.113194137,0.610648632,0.000177342,-0.044042878,-0.031160073,0.07320628,0.07112264
20220216_112724,0.116559809,0.593159914,0.000264633,-0.043707754,-0.04500481,0.07588889,0.0724833
20220216_112724,0.113550443,0.91023469,0.000268509,-0.033547893,-0.03992007,0.07305229,0.07118603
20220216_112725,0.116246527,0.75522542,0.000273961,-0.044587057,-0.036103133,0.076710716,0.070975065
20220216_112725,0.113461857,0.617806435,0.000137011,-0.038866583,-0.032319646,0.07284473,0.071873
20220216_112726,0.110623266,0.558564126,0.000143683,-0.046718653,-0.03370255,0.07303064,0.067472786
20220216_112726,0.119379952,0.542603433,0.00016993,-0.055782713,-0.036883634,0.0808461,0.07151134
20220216_112727,0.124346333,0.545874417,0.000102901,-0.038555242,-0.05731559,0.07322136,0.085635275
20220216_112727,0.105930988,0.596263826,0.00033353,-0.02914443,-0.023940079,0.06847333,0.065790765
20220216_112728,0.107248778,0.525636017,0.000256832,-0.044093706,0.008026741,0.07109452,0.06579851
20220216_112728,0.108491837,0.464541882,0.00013745,-0.03948312,-0.013916886,0.07243564,0.06570945
20220216_112729,0.112296103,0.550516427,0.000307204,-0.035726644,-0.014306527,0.0741361,0.06808301
20220216_112729,0.112319313,0.543634892,0.000256263,-0.04656515,-0.017803065,0.074577555,0.06800407
20220216_112730,0.10539673,0.527743638,0.000140128,-0.027437529,0.021021085,0.06935623,0.06524927
20220216_112730,0.120533284,0.564736724,0.000340444,-0.057038646,-0.016116155,0.08500668,0.06822913
20220216_112731,0.104826351,0.70219636,6.86E-05,-0.020715073,-0.010929127,0.06533594,0.06732181
20220216_112731,0.11310869,0.596623003,0.000102521,-0.0455516,-0.03416793,0.076690696,0.06631031
20220216_112732,0.105696166,0.715792596,4.75E-05,-0.03557898,0.008494081,0.07019041,0.063719906
20220216_112732,0.101433251,0.503758848,0.000172105,-0.015638912,-0.001048376,0.06351684,0.06485416
20220216_112733,0.104211958,0.589533269,0.000261781,0.00256683,0.030262006,0.06541077,0.06693702
20220216_112733,0.100057041,0.548090816,4.79E-05,-0.021845903,0.015618452,0.06560423,0.06154584
20220216_112734,0.104276445,0.562728286,6.37E-05,-0.03561074,-0.009778739,0.06991742,0.06247515
20220216_112734,0.110545289,0.556613207,0.000217202,-0.043677103,0.024209315,0.07421483,0.067037515
20220216_112735,0.114779687,0.544850469,0.000316898,-0.048672553,0.028618883,0.07986309,0.06672987
20220216_112736,0.105175461,0.50142175,0.000231823,-0.018272052,0.016552329,0.065197006,0.06881379
20220216_112736,0.113482425,0.575605929,7.14E-05,-0.05482402,-0.001612418,0.079960994,0.06386223
20220216_112737,0.106868368,0.526165366,0.000143908,-0.02894192,0.003180536,0.070664026,0.064439125
20220216_112737,0.115403512,0.635088801,0.00024928,-0.053736683,0.021133486,0.07954132,0.06806635
20220216_112738,0.10703878,0.738802791,5.26E-05,-0.030476253,0.024988364,0.06739393,0.068349645
20220216_112738,0.108903744,0.901605964,0.000169694,-0.040965114,0.023097536,0.0722854,0.065496236
