time,mean,max,min,hor,ver,horabs,verabs
20220401_122129,0.077080998,1.869949698,0,-0.008303905,-0.03758126,0.04629927,0.049007457
20220401_122129,0.077219898,1.845902205,0,-0.01059022,-0.03776913,0.046754688,0.048991237
20220401_122130,0.05827847,1.464601994,0,-0.014532123,-0.010153645,0.03780504,0.03556161
20220401_122131,0.061508555,1.217248082,0,0.000396642,-0.006901559,0.035360802,0.03999456
20220401_122131,0.075550789,1.561011195,0,-0.0024467,-0.01805747,0.047704574,0.045278985
20220401_122132,0.077105509,1.411804318,0,-0.007300261,-0.013977611,0.04725019,0.049943455
20220401_122132,0.065858587,1.327260137,0,-0.007041258,-0.019693295,0.043450534,0.041436832
20220401_122132,0.067896596,1.454545617,0,-0.001905481,0.001179621,0.04839506,0.038899064
20220401_122133,0.061221802,1.113188148,0,0.008010495,-0.002681914,0.04347422,0.03468824
20220401_122133,0.069418331,1.448181987,0,-0.006939688,-0.017168611,0.045384787,0.042797767
20220401_122134,0.069142162,1.470959783,0,-0.008881923,-0.01727323,0.04509793,0.04272066
20220401_122134,0.068837702,1.138587356,0,-0.006547744,-0.010163904,0.045333494,0.042037502
20220401_122134,0.074488157,1.494103312,0,-0.00617574,-0.008955753,0.048878882,0.04515901
20220401_122134,0.068460195,1.556224227,0,-0.015037503,-0.005572675,0.042582482,0.043086927
20220401_122135,0.08543921,1.941519022,0,0.004850179,0.011516134,0.048252244,0.05881092
20220401_122135,0.076760123,1.834197879,0,-0.004060159,0.018733526,0.04626862,0.051477764
20220401_122135,0.082875618,1.815212727,0,-0.004118233,-0.003454074,0.04373553,0.060242295
20220401_122136,0.067421476,1.360937119,0,-0.006677442,0.007778685,0.040026076,0.044241626
20220401_122136,0.088340365,1.841030598,0,-0.00621917,0.009175518,0.051140007,0.057998292
20220401_122136,0.063262641,1.296231508,0,0.008850194,-0.001626221,0.039539706,0.040132985
20220401_122137,0.076764822,1.510346889,0,-0.005524239,0.010658938,0.04877165,0.05015106
20220401_122137,0.114949583,2.308386087,0,0.007874959,0.003736214,0.05949038,0.082148276
20220401_122138,0.106431549,2.698097467,0,-0.004613066,0.04077661,0.05139919,0.08278138
20220401_122138,0.122639074,2.108373642,0,0.014997937,0.030625915,0.0744174,0.07970612
20220401_122138,0.10670053,2.086576462,0,0.006532484,0.034478087,0.06063488,0.07404712
20220401_122139,0.066058011,1.447228312,0,-0.016324276,-0.008462347,0.04096984,0.04290214
20220401_122139,0.058477705,0.950440168,0,0.015215325,-0.001087493,0.036755748,0.037056923
20220401_122139,0.064241436,1.216547489,0,-0.02100268,-0.009352588,0.04076965,0.043219388
20220401_122140,0.064099854,1.011002064,0,-0.004033488,0.003587416,0.037740633,0.044913214
20220401_122140,0.070156821,1.810042977,0,-0.012699341,-0.004567347,0.04876762,0.04355923
20220401_122140,0.062441497,1.09493506,0,-0.022416808,0.003250609,0.038800266,0.041519318
20220401_122141,0.056817238,1.286765695,0,-0.010963658,-0.001512442,0.03448314,0.03949205
20220401_122141,0.077954598,1.240010023,0,-0.03903287,-0.014788256,0.056791313,0.042814635
20220401_122141,0.06397422,1.853460073,0,-0.0089428,0.007343186,0.04063504,0.043900147
20220401_122142,0.065154662,1.747334719,0,-0.018528193,-0.014571345,0.040437832,0.043670822
20220401_122142,0.057037629,1.032948494,0,-0.008122527,-0.005058498,0.030508569,0.042621404
20220401_122142,0.064184147,1.234217763,0,-0.01149084,0.004423363,0.040854085,0.042175904
20220401_122143,0.061476592,1.249637842,0,-0.011700208,-0.00309763,0.038721386,0.03983953
20220401_122143,0.067522311,1.355053306,0,-0.011352629,0.001576297,0.048387162,0.03782118
20220401_122144,0.059893074,1.020784259,0,0.022736473,0.005872377,0.039608184,0.038223423
20220401_122144,0.062970938,0.901039183,0,-0.007832282,0.005227735,0.04126775,0.040284637
20220401_122144,0.062715009,1.574919224,0,-0.004668327,0.008029911,0.041823715,0.03817493
20220401_122144,0.063573077,1.12747407,0,-0.006533887,-0.002975291,0.049966868,0.03173352
20220401_122145,0.072523181,1.64168942,0,0.010758655,-0.009059154,0.04772326,0.045931462
20220401_122145,0.072100644,1.205100775,0,-0.005223013,0.00671267,0.048958097,0.042997032
20220401_122145,0.064793237,1.235513449,0,-0.002087395,0.016520318,0.03913743,0.04335717
20220401_122146,0.072323989,1.365154266,0,-0.033119675,-0.023044208,0.04802046,0.045028158
20220401_122146,0.089567193,1.330387354,0,-0.03678988,-0.029709108,0.059820265,0.055707037
20220401_122146,0.07468823,1.24017179,0,-0.012629532,0.007202543,0.04959397,0.04600125
