time,mean,max,min,hor,ver,horabs,verabs
20220406_153325,0.05725251,0.399317801,7.93E-05,0.019933041,0.023190444,0.035308708,0.037522383
20220406_153326,0.068143598,0.46421501,0.00012808,0.025587743,0.04096767,0.039351903,0.047673866
20220406_153327,0.052552093,0.399061888,0.000165819,0.013141079,0.012522132,0.035575517,0.031555794
20220406_153328,0.058846342,0.301743597,9.47E-05,0.00713829,0.03409871,0.034427557,0.040764593
20220406_153328,0.052227334,0.328391373,3.00E-05,0.014323671,0.022316493,0.032539684,0.034272324
20220406_153329,0.056647515,0.509096026,3.36E-05,0.023520205,0.010825993,0.03738937,0.034676652
20220406_153329,0.063872425,0.39324978,0.000180339,0.027057262,0.02643212,0.041003503,0.03991111
20220406_153329,0.055650977,0.326799065,6.99E-05,0.018062137,-0.01370028,0.038694583,0.031385113
20220406_153330,0.054222149,0.384939849,0.000125142,0.002168167,-0.016570175,0.036199283,0.032910977
20220406_153330,0.05065982,0.300030529,5.03E-05,0.016401367,-0.002868883,0.03394903,0.030626953
20220406_153330,0.052388371,0.426944554,0.000139353,0.012035439,0.004155523,0.03585069,0.030328948
20220406_153331,0.056472145,0.38038367,8.00E-05,0.006655569,-0.000342141,0.04092206,0.030821241
20220406_153332,0.05726766,0.411834747,0.000164515,0.021109844,0.02402256,0.036835905,0.036565293
20220406_153332,0.049187233,0.304880649,0.000149884,0.011714385,0.01439605,0.033167332,0.029353786
20220406_153332,0.05260944,0.294532835,0.000147192,0.010112719,0.021753153,0.0330495,0.034182593
20220406_153333,0.050668941,0.376277059,0.00013388,-0.000733418,0.013205147,0.033054247,0.031052487
20220406_153333,0.052876363,0.404251486,2.81E-05,0.003451827,0.010239732,0.033610888,0.033659242
20220406_153334,0.052105223,0.401625901,5.29E-05,0.002859413,0.019424895,0.03327687,0.033213317
20220406_153334,0.051100022,0.40794602,6.65E-05,0.00633488,0.018389575,0.03135287,0.03358229
20220406_153335,0.053461495,0.372285277,0.000135405,0.011006967,0.016073178,0.03617444,0.032288484
20220406_153335,0.046569374,0.337188929,0.000149448,-0.003573714,0.005756672,0.031042943,0.027663287
20220406_153335,0.054385642,0.426283747,8.61E-05,-0.006171469,-0.022530522,0.033398192,0.036251977
20220406_153336,0.053283071,0.510129809,3.20E-05,-0.015804552,-0.009243397,0.03563269,0.03200534
20220406_153336,0.052219036,0.32617873,8.29E-05,-0.004763019,-0.01702377,0.031761847,0.034543034
20220406_153336,0.049397426,0.468895793,6.80E-05,-0.00648734,0.004959809,0.03247258,0.030503841
20220406_153337,0.057799177,0.397953331,3.27E-05,-0.034342967,-0.013743705,0.04353531,0.029341057
20220406_153337,0.056021756,0.360931307,5.71E-05,-0.02957713,-0.00291058,0.040670767,0.030159375
20220406_153337,0.052559679,0.321403354,0.000126174,-0.007907447,0.023036085,0.03258612,0.03429154
20220406_153337,0.069381539,0.34817332,0.000187716,-0.008642279,0.051243477,0.034034885,0.054416597
20220406_153338,0.054221323,0.382008106,1.09E-05,-0.025512943,0.002318838,0.03809093,0.03041996
20220406_153338,0.064163402,0.27639842,1.87E-05,-0.001321839,0.042074956,0.033257693,0.048637204
20220406_153338,0.061410258,0.393319249,1.18E-05,-0.005565551,0.038354453,0.034588397,0.044088047
20220406_153339,0.070879591,0.363927692,1.68E-05,-0.023043482,0.049538545,0.03771147,0.053398684
20220406_153339,0.065663748,0.279799134,0.000196322,-0.013824837,0.045877393,0.0330367,0.05101246
20220406_153339,0.069125106,0.391847193,0.000130727,-0.014062355,0.048358757,0.035489198,0.05297427
20220406_153340,0.062695002,0.328306407,1.43E-05,-0.039649628,0.013075232,0.049104966,0.030395605
20220406_153340,0.060270734,0.449467748,7.42E-05,-0.003306525,0.03597036,0.03323922,0.043274812
20220406_153340,0.056837408,0.509213746,2.78E-05,-0.008965058,0.026492048,0.032365356,0.03931497
20220406_153341,0.075973114,0.442756891,0.000139919,0.000314366,0.061245855,0.030345917,0.06451624
20220406_153341,0.055437787,0.339392066,8.20E-05,-0.012503003,0.02586398,0.035478283,0.035573684
20220406_153341,0.079608368,0.535859227,7.21E-05,0.00044115,0.061778724,0.03446363,0.065480456
