time,mean,max,min,hor,ver,horabs,verabs
20220406_160017,0.149045048,0.598337889,0.000182472,-0.019487178,-0.03493865,0.089964606,0.10085148
20220406_160018,0.167574928,0.617775679,3.63E-05,-0.04685322,-0.081820935,0.09337054,0.1197835
20220406_160019,0.16967425,0.522917092,0.000272063,-0.049422834,-0.05872057,0.102174625,0.11437959
20220406_160020,0.186283995,0.709942281,8.93E-05,-0.094127245,-0.066485755,0.123468496,0.11540135
20220406_160021,0.186563601,0.767589927,0.000634044,-0.09400054,-0.068630695,0.124575056,0.117552914
20220406_160022,0.165784706,0.644489646,0.000456632,-0.080694266,-0.019345531,0.11278959,0.09992242
20220406_160022,0.157222819,0.642719269,0.000107484,-0.061409034,-0.007459876,0.105229996,0.095773555
20220406_160023,0.15277043,0.670288742,0.000166033,-0.051920492,0.010707541,0.100033015,0.093748614
20220406_160023,0.158940727,0.823810816,0.000167893,-0.05084058,-0.042144552,0.105494134,0.09783749
20220406_160023,0.153993139,0.521089494,0.000158952,-0.047947563,-0.040444374,0.09747655,0.09997
20220406_160024,0.15827069,0.612729073,0.00070871,-0.028711952,-0.038559385,0.096290395,0.105004415
20220406_160024,0.178806791,0.614418924,6.72E-05,-0.03907175,-0.09684041,0.09504227,0.13205364
20220406_160025,0.168329549,0.705605805,0.000607648,0.077576384,0.027240923,0.114387535,0.10156528
20220406_160025,0.172916562,0.699634433,0.0003571,0.07502704,0.024557697,0.11849761,0.103682294
20220406_160026,0.157775641,0.586956382,0.000288372,0.03841722,0.022664083,0.102544874,0.09806108
20220406_160026,0.168117573,0.714902878,0.000332648,0.05489728,-0.026493961,0.10300065,0.11161275
20220406_160027,0.148974109,0.544588089,0.000157924,0.012745836,0.022726038,0.08891996,0.10026839
20220406_160027,0.163469412,0.633015156,0.000211037,0.013161399,-0.015030112,0.103095755,0.10513695
20220406_160028,0.163292052,0.748532355,0.000282734,0.02380759,-0.04383435,0.09742846,0.11036425
20220406_160028,0.164631763,0.683121026,0.000164038,-0.049394067,-0.009086818,0.10834628,0.10196541
20220406_160029,0.16893219,0.762472272,9.74E-05,-0.06722495,-0.004287181,0.11516318,0.101867855
20220406_160029,0.170819479,0.614351809,0.000338035,-0.07873289,0.03140484,0.114667945,0.10209835
20220406_160030,0.164975603,0.798810422,0.000247724,-0.038621485,0.002384602,0.09847586,0.11058002
20220406_160030,0.185186771,0.77064532,0.000501855,-0.087775044,-0.01073366,0.12605526,0.110585645
20220406_160031,0.199139644,0.724987209,0.000642954,-0.12589711,0.029519388,0.14747146,0.10365498
20220406_160031,0.174078855,0.791653097,0.000148188,-0.08547006,0.007759757,0.1195806,0.10161149
20220406_160032,0.180910625,0.605517626,0.000383035,-0.09308766,-0.020254018,0.12444167,0.10431217
20220406_160032,0.225280266,0.856940925,0.000236623,-0.16139922,0.032014243,0.17922938,0.10409169
20220406_160033,0.239444962,0.833687425,0.000299382,-0.15505446,0.073905505,0.1794784,0.1258823
20220406_160033,0.277301049,0.814205587,0.000543938,-0.18642332,0.1357582,0.19838855,0.15651417
20220406_160034,0.287365257,0.871293485,0.000315527,-0.15715268,0.18430178,0.1770859,0.19542944
20220406_160034,0.248345501,0.750836313,0.000121218,-0.18290244,0.029642187,0.19502068,0.12069173
20220406_160035,0.252070322,0.784312189,0.000563404,-0.18160634,0.076707646,0.19226724,0.13158645
20220406_160035,0.268823869,0.819964886,0.000241932,-0.18074308,0.10408791,0.19135405,0.15476584
20220406_160036,0.288758382,0.859854996,0.000632243,-0.23212264,0.051051058,0.2420922,0.120922945
20220406_160036,0.351491707,1.005919695,0.000271642,-0.31094995,0.030757388,0.31421497,0.12240581
20220406_160037,0.361320543,1.177196145,0.000606968,-0.31613544,-0.041715648,0.31939602,0.1276747
20220406_160038,0.405721122,1.209346056,0.001293697,-0.37346923,0.000509018,0.374246,0.118563876
20220406_160038,0.407966473,1.27121532,0.000927451,-0.36970806,0.016407352,0.37103105,0.13316318
20220406_160039,0.390470147,1.212587953,0.000616257,-0.3414482,-0.003744151,0.3445183,0.14007746
20220406_160039,0.294553413,1.001661539,0.000351078,-0.17114232,0.076884784,0.20709333,0.16721489
20220406_160040,0.297999345,1.048223376,0.00066019,-0.18489335,0.005311009,0.21766075,0.16242684
20220406_160040,0.252018202,0.853681147,0.000185727,-0.01046767,0.08369683,0.15046816,0.16981323
20220406_160041,0.359239151,1.232494354,0.000894707,0.26181337,0.030440073,0.29054582,0.16769844
20220406_160041,0.263487719,0.875344396,8.80E-05,0.029933957,0.05839592,0.16377564,0.1720569
20220406_160042,0.25252705,0.896294653,0.000441266,-0.02813943,7.76E-06,0.15784295,0.16305958
20220406_160042,0.270597647,0.99748981,0.000171018,-0.013478153,0.08974731,0.15823399,0.18416122
20220406_160043,0.253623357,0.91502136,0.000216371,0.019279312,0.04055549,0.15266506,0.16786726
20220406_160043,0.260028204,0.97873348,0.000227519,-0.09067948,0.06853865,0.16508804,0.1653798
20220406_160044,0.275917013,1.004433393,0.000141966,0.05190397,-0.080825366,0.16595705,0.18604757
