time,mean,,,hor,ver,hormax,vermax
20220420_153515,1.84E-05,0.000383595,0,-7.58E-06,-1.15E-05,3.29E-05,3.26E-05
20220420_153515,1.84E-05,0.000383595,0,-7.58E-06,-1.15E-05,3.29E-05,3.26E-05
20220420_153515,0.015710993,0.06796021,6.65E-05,0.001676426,-0.000763721,0.046836399,0.054582074
20220420_153515,2.54E-05,0.005351558,0,-3.00E-06,-1.79E-05,0.003230751,3.59E-05
20220420_153515,2.54E-05,0.005351558,0,-3.00E-06,-1.79E-05,0.003230751,3.59E-05
20220420_153515,0.02340574,0.058030903,0.000201708,-0.015384891,0.010585097,0.029037789,0.044423822
20220420_153516,1.80E-05,0.000391335,0,-7.75E-06,-1.08E-05,2.99E-05,3.45E-05
20220420_153516,0.017326063,0.051894277,5.58E-05,-0.004802527,0.002486475,0.040331751,0.0477436
20220420_153516,1.83E-05,0.000393576,0,-7.77E-06,-1.14E-05,3.16E-05,2.76E-05
20220420_153516,1.83E-05,0.000393576,0,-7.77E-06,-1.14E-05,3.16E-05,2.76E-05
20220420_153516,0.015134093,0.05131064,0.00011898,0.005454973,-0.002735049,0.050914474,0.026867421
20220420_153516,0.017269988,0.09515664,0.000102897,0.003706647,-0.001906458,0.056130238,0.094804436
20220420_153516,1.77E-05,0.000379837,0,-7.50E-06,-1.07E-05,3.19E-05,3.24E-05
20220420_153516,0.017616006,0.097299144,2.41E-05,-0.000316903,0.003883663,0.046723429,0.077292114
20220420_153516,1.63E-05,0.000241578,0,-5.15E-06,-1.16E-05,3.33E-05,2.54E-05
20220420_153516,1.63E-05,0.000241578,0,-5.15E-06,-1.16E-05,3.33E-05,2.54E-05
20220420_153516,0.01814138,0.056657743,6.19E-06,0.000505736,-0.008714228,0.047526777,0.040700357
20220420_153516,1.63E-05,0.000239888,0,-5.06E-06,-1.16E-05,3.41E-05,2.67E-05
20220420_153516,0.018230387,0.066347301,4.77E-05,-0.004311012,-0.001015515,0.039524175,0.045989372
20220420_153516,1.86E-05,0.000377572,0,-7.66E-06,-1.18E-05,3.15E-05,3.03E-05
20220420_153516,0.016699023,0.07915584,2.37E-05,0.006530381,-9.13E-05,0.06641522,0.043557033
20220420_153516,1.67E-05,0.000243542,0,-4.96E-06,-1.21E-05,3.71E-05,2.50E-05
20220420_153516,0.017582674,0.061916072,5.69E-05,0.007039026,0.002201911,0.056054953,0.040106922
20220420_153517,1.78E-05,0.00038426,0,-7.22E-06,-1.12E-05,3.20E-05,2.97E-05
20220420_153517,1.78E-05,0.00038426,0,-7.22E-06,-1.12E-05,3.20E-05,2.97E-05
20220420_153517,0.018084861,0.070914313,7.04E-05,-0.009988768,0.001832822,0.034096856,0.03988985
20220420_153517,1.83E-05,0.000397029,0,-7.83E-06,-1.10E-05,3.18E-05,3.42E-05
20220420_153517,0.015501538,0.055129219,5.98E-05,0.000575093,0.000973341,0.046917856,0.051604882
20220420_153517,1.67E-05,0.000244253,0,-5.14E-06,-1.20E-05,3.53E-05,2.45E-05
20220420_153517,0.016363136,0.065372311,4.06E-05,0.000441741,-0.004509187,0.048438132,0.039797604
20220420_153517,0.015748817,0.06366016,9.25E-05,0.002761504,-0.001306249,0.05955077,0.051066782
20220420_153517,1.82E-05,0.000409986,0,-7.74E-06,-1.13E-05,3.12E-05,2.91E-05
20220420_153517,0.018165132,0.103950441,3.08E-05,-0.00661373,0.000759854,0.041498814,0.095458291
20220420_153517,1.66E-05,0.00024903,0,-5.26E-06,-1.17E-05,3.56E-05,2.60E-05
20220420_153517,1.66E-05,0.00024903,0,-5.26E-06,-1.17E-05,3.56E-05,2.60E-05
20220420_153517,0.017257956,0.127472982,5.11E-05,-0.002564029,-0.002920701,0.035072826,0.050988652
20220420_153517,1.85E-05,0.000376893,0,-7.61E-06,-1.18E-05,3.26E-05,2.91E-05
20220420_153517,0.017975744,0.066978581,1.27E-06,0.006502605,5.08E-05,0.056724194,0.04915696
20220420_153518,1.79E-05,0.000387967,0,-7.70E-06,-1.11E-05,2.94E-05,2.91E-05
20220420_153518,0.016255301,0.069128923,5.66E-05,0.000345926,0.000883437,0.049609035,0.0690879
20220420_153518,1.88E-05,0.000383462,0,-7.75E-06,-1.19E-05,3.16E-05,2.98E-05
20220420_153518,0.016943871,0.0683171,2.56E-05,-0.004267837,-0.000222456,0.034437325,0.067743614
20220420_153518,1.80E-05,0.000391581,0,-7.23E-06,-1.16E-05,3.20E-05,2.72E-05
