time,mean,max,,hor,ver,hormax,vermax
20220420_154645,0.016003536,0.049127664,3.05E-05,-0.002358665,-0.002198119,0.035682898,0.034535017
20220420_154645,0.016003536,0.049127664,3.05E-05,-0.002358665,-0.002198119,0.035682898,0.034535017
20220420_154645,0.016003536,0.049127664,3.05E-05,-0.002358665,-0.002198119,0.035682898,0.034535017
20220420_154645,0.0172294,0.051073533,3.12E-05,-0.005888766,0.001290196,0.046754308,0.046491168
20220420_154645,0.0172294,0.051073533,3.12E-05,-0.005888766,0.001290196,0.046754308,0.046491168
20220420_154645,0.018011032,0.054505412,4.48E-05,-0.003223809,0.000690856,0.038417831,0.040454101
20220420_154645,0.018011032,0.054505412,4.48E-05,-0.003223809,0.000690856,0.038417831,0.040454101
20220420_154645,0.016853925,0.052086897,0.000124318,-0.00402271,-0.000605662,0.042843595,0.042455815
20220420_154645,0.016853925,0.052086897,0.000124318,-0.00402271,-0.000605662,0.042843595,0.042455815
20220420_154645,0.016853925,0.052086897,0.000124318,-0.00402271,-0.000605662,0.042843595,0.042455815
20220420_154645,0.017401332,0.087147199,2.05E-05,-0.00350108,0.001211234,0.050805721,0.087101184
20220420_154645,0.017401332,0.087147199,2.05E-05,-0.00350108,0.001211234,0.050805721,0.087101184
20220420_154646,0.01667644,0.05430875,4.03E-06,-0.003721605,7.15E-05,0.045715958,0.041488741
20220420_154646,0.01667644,0.05430875,4.03E-06,-0.003721605,7.15E-05,0.045715958,0.041488741
20220420_154646,0.01735475,0.066815495,5.32E-05,-0.003220452,0.001792515,0.066815406,0.054015215
20220420_154646,0.01735475,0.066815495,5.32E-05,-0.003220452,0.001792515,0.066815406,0.054015215
20220420_154646,0.016067133,0.054274164,5.37E-05,-0.001319103,0.002706499,0.04091128,0.042608559
20220420_154646,0.016067133,0.054274164,5.37E-05,-0.001319103,0.002706499,0.04091128,0.042608559
20220420_154646,0.016386776,0.05055844,2.68E-05,0.002487881,0.003413325,0.044941943,0.042585935
20220420_154646,0.016386776,0.05055844,2.68E-05,0.002487881,0.003413325,0.044941943,0.042585935
20220420_154646,0.017125476,0.060297575,5.61E-05,-0.00066367,0.001954543,0.050572667,0.050208632
20220420_154646,0.017125476,0.060297575,5.61E-05,-0.00066367,0.001954543,0.050572667,0.050208632
20220420_154646,0.015690818,0.062874869,6.36E-05,-0.005829426,0.002557632,0.058587145,0.040765706
20220420_154646,0.015690818,0.062874869,6.36E-05,-0.005829426,0.002557632,0.058587145,0.040765706
20220420_154646,0.017378775,0.048766188,8.69E-05,-0.002138435,0.004069181,0.042909898,0.046442743
20220420_154646,0.017378775,0.048766188,8.69E-05,-0.002138435,0.004069181,0.042909898,0.046442743
20220420_154646,0.01602188,0.080623768,9.38E-05,-0.000389079,0.001462311,0.07945013,0.041866019
20220420_154647,0.01602188,0.080623768,9.38E-05,-0.000389079,0.001462311,0.07945013,0.041866019
20220420_154647,0.016588494,0.059533592,3.01E-05,0.001966402,0.001460703,0.059501935,0.045566507
20220420_154647,0.016588494,0.059533592,3.01E-05,0.001966402,0.001460703,0.059501935,0.045566507
20220420_154647,0.01831526,0.072887138,4.26E-05,0.003369398,-0.0002021,0.061534747,0.044887155
20220420_154647,0.01831526,0.072887138,4.26E-05,0.003369398,-0.0002021,0.061534747,0.044887155
20220420_154647,0.01831526,0.072887138,4.26E-05,0.003369398,-0.0002021,0.061534747,0.044887155
20220420_154647,0.017142355,0.057049017,5.13E-05,0.002409939,-0.003133257,0.04445501,0.045879334
20220420_154647,0.017142355,0.057049017,5.13E-05,0.002409939,-0.003133257,0.04445501,0.045879334
20220420_154647,0.017142355,0.057049017,5.13E-05,0.002409939,-0.003133257,0.04445501,0.045879334
20220420_154647,0.017273979,0.052410282,2.66E-05,0.001139047,-0.001091225,0.051976558,0.044718649
20220420_154647,0.017273979,0.052410282,2.66E-05,0.001139047,-0.001091225,0.051976558,0.044718649
20220420_154647,0.017273979,0.052410282,2.66E-05,0.001139047,-0.001091225,0.051976558,0.044718649
20220420_154647,0.017640079,0.056090843,4.16E-05,0.0051699,0.000429099,0.05604944,0.041379239
20220420_154647,0.017640079,0.056090843,4.16E-05,0.0051699,0.000429099,0.05604944,0.041379239
20220420_154647,0.017640079,0.056090843,4.16E-05,0.0051699,0.000429099,0.05604944,0.041379239
20220420_154647,0.018014737,0.056124914,2.87E-05,0.004967142,3.93E-05,0.047020249,0.047652215
20220420_154647,0.018014737,0.056124914,2.87E-05,0.004967142,3.93E-05,0.047020249,0.047652215
20220420_154647,0.018014737,0.056124914,2.87E-05,0.004967142,3.93E-05,0.047020249,0.047652215
20220420_154647,0.019719526,0.071785331,4.98E-05,0.007046243,-0.001213119,0.060433481,0.050914254
20220420_154647,0.019719526,0.071785331,4.98E-05,0.007046243,-0.001213119,0.060433481,0.050914254
20220420_154647,0.017443555,0.099438451,3.83E-05,0.001674147,-0.000336036,0.098801605,0.067760818
20220420_154648,0.017443555,0.099438451,3.83E-05,0.001674147,-0.000336036,0.098801605,0.067760818
20220420_154648,0.017443555,0.099438451,3.83E-05,0.001674147,-0.000336036,0.098801605,0.067760818
20220420_154648,0.016459799,0.048674066,1.80E-05,-0.00049437,0.002809966,0.043479528,0.039513268
20220420_154648,0.016459799,0.048674066,1.80E-05,-0.00049437,0.002809966,0.043479528,0.039513268
20220420_154648,0.016459799,0.048674066,1.80E-05,-0.00049437,0.002809966,0.043479528,0.039513268
20220420_154648,0.018220685,0.054604229,8.00E-05,0.003278474,0.005020165,0.053932164,0.045225251
20220420_154648,0.018220685,0.054604229,8.00E-05,0.003278474,0.005020165,0.053932164,0.045225251
20220420_154648,0.018220685,0.054604229,8.00E-05,0.003278474,0.005020165,0.053932164,0.045225251
20220420_154648,0.016852084,0.046910912,6.72E-05,0.000894148,0.003792172,0.039820664,0.046753004
20220420_154648,0.016852084,0.046910912,6.72E-05,0.000894148,0.003792172,0.039820664,0.046753004
20220420_154648,0.016852084,0.046910912,6.72E-05,0.000894148,0.003792172,0.039820664,0.046753004
20220420_154648,0.017886185,0.071223088,7.58E-05,0.002770371,0.003312223,0.068836801,0.048061475
20220420_154648,0.017886185,0.071223088,7.58E-05,0.002770371,0.003312223,0.068836801,0.048061475
20220420_154648,0.017886185,0.071223088,7.58E-05,0.002770371,0.003312223,0.068836801,0.048061475
20220420_154648,0.018998993,0.100373618,3.29E-05,0.002461638,0.006477649,0.064818226,0.098941714
20220420_154648,0.018998993,0.100373618,3.29E-05,0.002461638,0.006477649,0.064818226,0.098941714
20220420_154648,0.017416847,0.057834029,9.16E-06,-0.000132941,0.005343507,0.044283468,0.057818718
20220420_154648,0.017416847,0.057834029,9.16E-06,-0.000132941,0.005343507,0.044283468,0.057818718
20220420_154648,0.017416847,0.057834029,9.16E-06,-0.000132941,0.005343507,0.044283468,0.057818718
20220420_154648,0.016128794,0.054873519,2.30E-05,-0.001667529,0.0035702,0.044264972,0.043939713
20220420_154648,0.016128794,0.054873519,2.30E-05,-0.001667529,0.0035702,0.044264972,0.043939713
20220420_154649,0.016128794,0.054873519,2.30E-05,-0.001667529,0.0035702,0.044264972,0.043939713
20220420_154649,0.017245615,0.051097911,4.61E-05,0.001424106,0.00558202,0.04130096,0.041181207
20220420_154649,0.017245615,0.051097911,4.61E-05,0.001424106,0.00558202,0.04130096,0.041181207
20220420_154649,0.017435793,0.073580347,8.82E-05,-0.000884249,0.005346627,0.043753892,0.066249244
20220420_154649,0.017435793,0.073580347,8.82E-05,-0.000884249,0.005346627,0.043753892,0.066249244
20220420_154649,0.017435793,0.073580347,8.82E-05,-0.000884249,0.005346627,0.043753892,0.066249244
20220420_154649,0.017435793,0.073580347,8.82E-05,-0.000884249,0.005346627,0.043753892,0.066249244
20220420_154649,0.017089303,0.104070298,7.55E-05,0.006383934,0.002836058,0.08421813,0.098623842
20220420_154649,0.017089303,0.104070298,7.55E-05,0.006383934,0.002836058,0.08421813,0.098623842
20220420_154649,0.018463794,0.063401155,2.62E-05,0.007110703,-0.000156151,0.062481984,0.046671785
20220420_154649,0.018463794,0.063401155,2.62E-05,0.007110703,-0.000156151,0.062481984,0.046671785
20220420_154649,0.018463794,0.063401155,2.62E-05,0.007110703,-0.000156151,0.062481984,0.046671785
20220420_154649,0.017177311,0.06256327,2.73E-05,0.004719366,0.002058157,0.060314879,0.042407542
20220420_154649,0.017177311,0.06256327,2.73E-05,0.004719366,0.002058157,0.060314879,0.042407542
20220420_154649,0.017177311,0.06256327,2.73E-05,0.004719366,0.002058157,0.060314879,0.042407542
20220420_154649,0.0173187,0.058485258,4.89E-05,0.002714645,0.003836735,0.058110882,0.04410233
20220420_154649,0.0173187,0.058485258,4.89E-05,0.002714645,0.003836735,0.058110882,0.04410233
20220420_154649,0.017082166,0.06163355,5.22E-05,0.001019527,0.005540402,0.049326133,0.047712963
20220420_154649,0.017082166,0.06163355,5.22E-05,0.001019527,0.005540402,0.049326133,0.047712963
20220420_154649,0.017082166,0.06163355,5.22E-05,0.001019527,0.005540402,0.049326133,0.047712963
20220420_154650,0.019564422,0.108454682,3.31E-05,0.008765234,0.004196613,0.088643685,0.103173062
20220420_154650,0.019564422,0.108454682,3.31E-05,0.008765234,0.004196613,0.088643685,0.103173062
20220420_154650,0.023680249,0.069373392,6.55E-05,0.016000677,0.006252618,0.068752669,0.057239216
20220420_154650,0.023680249,0.069373392,6.55E-05,0.016000677,0.006252618,0.068752669,0.057239216
20220420_154650,0.023680249,0.069373392,6.55E-05,0.016000677,0.006252618,0.068752669,0.057239216
20220420_154650,0.021109882,0.067183204,5.64E-05,0.012977659,0.004823893,0.067118272,0.04474806
20220420_154650,0.021109882,0.067183204,5.64E-05,0.012977659,0.004823893,0.067118272,0.04474806
20220420_154650,0.021109882,0.067183204,5.64E-05,0.012977659,0.004823893,0.067118272,0.04474806
20220420_154650,0.020735644,0.083982222,4.25E-05,0.013740005,0.004447782,0.083126493,0.046352431
20220420_154650,0.020735644,0.083982222,4.25E-05,0.013740005,0.004447782,0.083126493,0.046352431
20220420_154650,0.020735644,0.083982222,4.25E-05,0.013740005,0.004447782,0.083126493,0.046352431
20220420_154650,0.019311585,0.062462091,6.07E-05,0.011896411,0.000346076,0.057905521,0.041401137
20220420_154650,0.019311585,0.062462091,6.07E-05,0.011896411,0.000346076,0.057905521,0.041401137
20220420_154650,0.019311585,0.062462091,6.07E-05,0.011896411,0.000346076,0.057905521,0.041401137
20220420_154650,0.020245381,0.119180083,4.44E-05,0.01038893,-0.004830505,0.10669367,0.087100156
20220420_154650,0.020245381,0.119180083,4.44E-05,0.01038893,-0.004830505,0.10669367,0.087100156
20220420_154650,0.019642212,0.075573832,9.47E-05,0.01008393,-0.007973928,0.075121514,0.030522149
20220420_154650,0.019642212,0.075573832,9.47E-05,0.01008393,-0.007973928,0.075121514,0.030522149
20220420_154650,0.019642212,0.075573832,9.47E-05,0.01008393,-0.007973928,0.075121514,0.030522149
20220420_154650,0.019105575,0.067475095,5.20E-05,0.009671178,-0.00315099,0.050369352,0.058768883
20220420_154650,0.019105575,0.067475095,5.20E-05,0.009671178,-0.00315099,0.050369352,0.058768883
20220420_154651,0.019105575,0.067475095,5.20E-05,0.009671178,-0.00315099,0.050369352,0.058768883
20220420_154651,0.017214043,0.070807688,0.000121489,0.005426437,-0.001956967,0.052142698,0.052070122
20220420_154651,0.017214043,0.070807688,0.000121489,0.005426437,-0.001956967,0.052142698,0.052070122
20220420_154651,0.017768138,0.057078063,6.49E-05,0.001099905,-0.001431285,0.04292088,0.042019479
20220420_154651,0.017768138,0.057078063,6.49E-05,0.001099905,-0.001431285,0.04292088,0.042019479
20220420_154651,0.017768138,0.057078063,6.49E-05,0.001099905,-0.001431285,0.04292088,0.042019479
20220420_154651,0.018458713,0.087056741,2.75E-05,-0.004970515,0.002135743,0.058697052,0.086221851
20220420_154651,0.018458713,0.087056741,2.75E-05,-0.004970515,0.002135743,0.058697052,0.086221851
20220420_154651,0.018022351,0.081147991,0.000106183,0.000994797,-0.004533459,0.062509209,0.037386712
20220420_154651,0.018022351,0.081147991,0.000106183,0.000994797,-0.004533459,0.062509209,0.037386712
20220420_154651,0.019280527,0.071207471,6.07E-05,0.002833131,-0.008000758,0.070094317,0.056884155
20220420_154651,0.019280527,0.071207471,6.07E-05,0.002833131,-0.008000758,0.070094317,0.056884155
20220420_154651,0.019280527,0.071207471,6.07E-05,0.002833131,-0.008000758,0.070094317,0.056884155
20220420_154651,0.019017235,0.059822232,6.04E-05,0.005618114,-0.010725547,0.043274861,0.055367336
20220420_154651,0.019017235,0.059822232,6.04E-05,0.005618114,-0.010725547,0.043274861,0.055367336
20220420_154651,0.019017235,0.059822232,6.04E-05,0.005618114,-0.010725547,0.043274861,0.055367336
