time,mean,max,,hor,ver,hormax,vermax
20220420_164302,0.016897548,0.061022393,7.46E-05,-0.000881944,0.00027597,0.042647015,0.051986117
20220420_164302,0.016897548,0.061022393,7.46E-05,-0.000881944,0.00027597,0.042647015,0.051986117
20220420_164302,0.01696434,0.073857389,6.88E-05,-0.003938517,0.002169018,0.040707827,0.063891068
20220420_164302,0.017552453,0.076062784,5.63E-05,-0.003042051,0.002966359,0.07317201,0.045567911
20220420_164302,0.017552453,0.076062784,5.63E-05,-0.003042051,0.002966359,0.07317201,0.045567911
20220420_164302,0.018831415,0.10426674,3.91E-05,-0.003618671,0.006232778,0.05988425,0.051331334
20220420_164302,0.018889552,0.08759214,4.64E-05,-0.004169159,0.005650002,0.040308036,0.052713655
20220420_164302,0.018174208,0.074423797,7.25E-05,-0.003788994,0.00637882,0.039427217,0.054099582
20220420_164302,0.018174208,0.074423797,7.25E-05,-0.003788994,0.00637882,0.039427217,0.054099582
20220420_164303,0.018215986,0.058106821,5.22E-05,-0.002840927,0.004445473,0.053955872,0.047597576
20220420_164303,0.01791294,0.060901903,3.10E-05,-0.003967108,0.006473519,0.032853838,0.060264576
20220420_164303,0.017489391,0.066096246,7.44E-05,-0.004514757,0.004181469,0.044862229,0.063779198
20220420_164303,0.017489391,0.066096246,7.44E-05,-0.004514757,0.004181469,0.044862229,0.063779198
20220420_164303,0.017507741,0.060593892,3.88E-05,-0.000842741,0.004608134,0.057407133,0.046733499
20220420_164303,0.017591597,0.066146635,1.75E-05,-0.001571885,0.003589125,0.05910255,0.053817231
20220420_164303,0.017598426,0.058665473,0.000101636,0.006159034,0.000818207,0.05857769,0.044842869
20220420_164303,0.018034674,0.053953014,4.40E-05,0.006953826,-0.00348357,0.048951317,0.039487466
20220420_164303,0.019450216,0.060170621,4.27E-05,0.009193741,0.000376182,0.059570789,0.047236893
20220420_164303,0.01948826,0.064871952,2.21E-05,0.010499633,-0.003534215,0.059782363,0.037883911
20220420_164303,0.020333813,0.073182762,7.63E-05,0.007319302,-0.006097336,0.052598849,0.048611276
20220420_164303,0.018380817,0.062165909,8.09E-05,0.008551022,-0.005119447,0.050612431,0.042732306
20220420_164303,0.019799227,0.064542487,8.09E-05,0.008322069,-0.006573656,0.054891106,0.044308741
