time,mean,max,,hor,ver,hormax,vermax
20220421_151319,7.42E-05,0.029083619,0,-4.85E-05,-1.15E-05,0.001323552,0.00600401
20220421_151319,0.000121342,0.033583786,0,-4.44E-05,3.70E-05,0.00878345,0.03342849
20220421_151319,0.000121342,0.033583786,0,-4.44E-05,3.70E-05,0.00878345,0.03342849
20220421_151319,6.79E-05,0.024860173,0,-4.11E-05,-1.15E-05,0.001454841,0.005596259
20220421_151319,0.000110245,0.031002546,0,-2.99E-05,2.33E-05,0.01552914,0.023802539
20220421_151319,0.000110245,0.031002546,0,-2.99E-05,2.33E-05,0.01552914,0.023802539
20220421_151319,6.41E-05,0.028248467,0,-4.25E-05,-4.48E-06,0.000874165,0.005929883
20220421_151319,0.000105549,0.030573195,0,-4.31E-05,2.21E-05,0.007762442,0.022186685
20220421_151319,0.000105549,0.030573195,0,-4.31E-05,2.21E-05,0.007762442,0.022186685
20220421_151320,0.000118308,0.033018585,0,-4.08E-05,3.54E-05,0.008124419,0.03289102
20220421_151320,0.000118308,0.033018585,0,-4.08E-05,3.54E-05,0.008124419,0.03289102
20220421_151320,0.000127277,0.040159147,0,-3.61E-05,4.29E-05,0.012796203,0.0393828
20220421_151320,0.000115979,0.033787545,0,-3.06E-05,3.63E-05,0.011627801,0.033298295
20220421_151320,0.000112694,0.032664131,0,-3.40E-05,3.38E-05,0.009437446,0.032602772
20220421_151320,0.000112694,0.032664131,0,-3.40E-05,3.38E-05,0.009437446,0.032602772
20220421_151320,0.00010561,0.026112204,0,-2.60E-05,1.69E-05,0.015872922,0.021236487
20220421_151320,0.00010561,0.026112204,0,-2.60E-05,1.69E-05,0.015872922,0.021236487
20220421_151320,0.000119807,0.034409795,0,-4.21E-05,3.74E-05,0.009759444,0.034024101
20220421_151320,0.000119807,0.034409795,0,-4.21E-05,3.74E-05,0.009759444,0.034024101
20220421_151320,7.95E-05,0.022930056,0,-3.59E-05,1.25E-05,0.004405691,0.015934398
20220421_151320,0.000113224,0.030262778,0,-3.95E-05,3.33E-05,0.008026678,0.030007681
20220421_151320,0.000113224,0.030262778,0,-3.95E-05,3.33E-05,0.008026678,0.030007681
20220421_151321,0.000126616,0.044598658,0,-3.07E-05,5.04E-05,0.011951597,0.044174097
20220421_151321,0.000126616,0.044598658,0,-3.07E-05,5.04E-05,0.011951597,0.044174097
20220421_151321,0.000117866,0.031563234,0,-4.41E-05,3.35E-05,0.008102545,0.031501014
20220421_151321,6.87E-05,0.026463382,0,-4.31E-05,-1.14E-05,0.001270274,0.005706683
20220421_151321,6.87E-05,0.026463382,0,-4.31E-05,-1.14E-05,0.001270274,0.005706683
20220421_151321,9.16E-05,0.029013157,0,-4.43E-05,1.62E-05,0.004674472,0.019305637
20220421_151321,0.00010673,0.026391679,0,-2.58E-05,2.22E-05,0.015625505,0.023969457
20220421_151321,0.00010673,0.026391679,0,-2.58E-05,2.22E-05,0.015625505,0.023969457
20220421_151321,0.000108242,0.031237712,0,-4.29E-05,2.63E-05,0.009254386,0.024209483
20220421_151321,0.000108242,0.031237712,0,-4.29E-05,2.63E-05,0.009254386,0.024209483
