time,mean,max,,hor,ver,hormax,vermax
20220421_161308,0.020274759,0.089556716,9.02E-05,-0.008882074,0.002440656,0.036113713,0.061152987
20220421_161308,0.020274759,0.089556716,9.02E-05,-0.008882074,0.002440656,0.036113713,0.061152987
20220421_161308,0.020453635,0.06355682,6.48E-05,-0.003290135,0.003169624,0.043484624,0.055881105
20220421_161308,0.020453635,0.06355682,6.48E-05,-0.003290135,0.003169624,0.043484624,0.055881105
20220421_161308,0.02085609,0.091614038,4.18E-05,-0.000251083,0.008709566,0.049083754,0.091544226
20220421_161309,0.02085609,0.091614038,4.18E-05,-0.000251083,0.008709566,0.049083754,0.091544226
20220421_161309,0.019385797,0.059463471,2.56E-05,-0.001616716,0.002502946,0.049825527,0.052515086
20220421_161309,0.019385797,0.059463471,2.56E-05,-0.001616716,0.002502946,0.049825527,0.052515086
20220421_161309,0.019389741,0.080145828,4.76E-05,-0.001237258,0.005230853,0.040859722,0.066983342
20220421_161309,0.019389741,0.080145828,4.76E-05,-0.001237258,0.005230853,0.040859722,0.066983342
20220421_161309,0.020842164,0.070836946,6.36E-05,0.001107279,0.002724012,0.05116237,0.06866499
20220421_161309,0.020842164,0.070836946,6.36E-05,0.001107279,0.002724012,0.05116237,0.06866499
20220421_161309,0.020842164,0.070836946,6.36E-05,0.001107279,0.002724012,0.05116237,0.06866499
20220421_161309,0.019685866,0.08765392,7.21E-05,0.002250192,0.000395816,0.044042081,0.0837598
20220421_161309,0.019685866,0.08765392,7.21E-05,0.002250192,0.000395816,0.044042081,0.0837598
20220421_161309,0.019458934,0.060474459,9.14E-05,0.000909877,-0.002744157,0.042465031,0.059802238
20220421_161309,0.019544755,0.087500185,8.41E-05,-0.002467015,0.002052959,0.052274354,0.08412946
20220421_161309,0.019544755,0.087500185,8.41E-05,-0.002467015,0.002052959,0.052274354,0.08412946
20220421_161309,0.019544755,0.087500185,8.41E-05,-0.002467015,0.002052959,0.052274354,0.08412946
20220421_161309,0.018871819,0.057188008,8.70E-06,-0.004358869,0.00238704,0.028334618,0.056888267
20220421_161309,0.018871819,0.057188008,8.70E-06,-0.004358869,0.00238704,0.028334618,0.056888267
