time,mean,max,,hor,ver,hormax,vermax
20220423_100553,0.023607077,0.07768169,6.99E-05,-0.003380213,0.003658042,0.058084227,0.065801434
20220423_100553,0.023607077,0.07768169,6.99E-05,-0.003380213,0.003658042,0.058084227,0.065801434
20220423_100553,0.023060472,0.075280353,4.36E-05,-0.001108517,0.003020878,0.053786978,0.072110273
20220423_100553,0.023060472,0.075280353,4.36E-05,-0.001108517,0.003020878,0.053786978,0.072110273
20220423_100553,0.024795184,0.086626925,6.25E-05,0.001819677,0.008988177,0.084811375,0.067824662
20220423_100553,0.024795184,0.086626925,6.25E-05,0.001819677,0.008988177,0.084811375,0.067824662
20220423_100553,0.024795184,0.086626925,6.25E-05,0.001819677,0.008988177,0.084811375,0.067824662
20220423_100553,0.021248529,0.069407173,0.000158683,0.002499586,0.005028018,0.060050584,0.060211193
20220423_100553,0.021248529,0.069407173,0.000158683,0.002499586,0.005028018,0.060050584,0.060211193
20220423_100553,0.021843699,0.064187899,7.76E-05,0.005438421,0.003016479,0.059124731,0.042972572
20220423_100554,0.021843699,0.064187899,7.76E-05,0.005438421,0.003016479,0.059124731,0.042972572
20220423_100554,0.02044637,0.069391936,2.49E-05,0.003666754,0.000900342,0.064801447,0.050900973
20220423_100554,0.02044637,0.069391936,2.49E-05,0.003666754,0.000900342,0.064801447,0.050900973
20220423_100554,0.022475792,0.069458082,5.58E-05,0.001743313,0.002153124,0.067477696,0.063789189
20220423_100554,0.022475792,0.069458082,5.58E-05,0.001743313,0.002153124,0.067477696,0.063789189
20220423_100554,0.021615198,0.077544928,8.86E-05,0.004788669,0.000705528,0.058792647,0.048967298
20220423_100554,0.020617055,0.07786233,2.21E-05,0.00616556,0.000407008,0.077303909,0.04807879
20220423_100554,0.020617055,0.07786233,2.21E-05,0.00616556,0.000407008,0.077303909,0.04807879
20220423_100554,0.020617055,0.07786233,2.21E-05,0.00616556,0.000407008,0.077303909,0.04807879
20220423_100554,0.022198681,0.076116391,6.35E-05,0.000249588,-0.002872965,0.070987634,0.056947928
20220423_100554,0.022198681,0.076116391,6.35E-05,0.000249588,-0.002872965,0.070987634,0.056947928
20220423_100554,0.02289422,0.075541712,2.02E-06,0.002955018,-0.000819607,0.067676313,0.055315215
20220423_100554,0.02289422,0.075541712,2.02E-06,0.002955018,-0.000819607,0.067676313,0.055315215
20220423_100554,0.020830035,0.075843982,4.01E-05,-0.000472242,0.000179401,0.063485801,0.064824231
20220423_100554,0.020830035,0.075843982,4.01E-05,-0.000472242,0.000179401,0.063485801,0.064824231
20220423_100555,0.022995206,0.069438204,6.76E-05,0.005158733,0.00418857,0.06611111,0.058148917
