time,mean,max,,hor,ver,hormax,vermax
20220423_104015,0.022443377,0.081216052,5.65E-05,0.000139092,0.004658278,0.08055073,0.058907267
20220423_104015,0.022443377,0.081216052,5.65E-05,0.000139092,0.004658278,0.08055073,0.058907267
20220423_104015,0.020904629,0.078842364,9.41E-05,0.003427267,0.002223766,0.057190314,0.053714428
20220423_104015,0.020904629,0.078842364,9.41E-05,0.003427267,0.002223766,0.057190314,0.053714428
20220423_104015,0.020904629,0.078842364,9.41E-05,0.003427267,0.002223766,0.057190314,0.053714428
20220423_104015,0.021162551,0.123741038,5.04E-05,0.002608334,0.001615081,0.123451903,0.086936086
20220423_104015,0.021162551,0.123741038,5.04E-05,0.002608334,0.001615081,0.123451903,0.086936086
20220423_104015,0.021162551,0.123741038,5.04E-05,0.002608334,0.001615081,0.123451903,0.086936086
20220423_104015,0.020301566,0.067797936,0.000122752,0.002935781,0.000219892,0.053773992,0.062611625
20220423_104015,0.020301566,0.067797936,0.000122752,0.002935781,0.000219892,0.053773992,0.062611625
20220423_104015,0.023417785,0.099020109,0.000109441,0.007126889,-0.004352591,0.060991313,0.082308121
20220423_104015,0.023417785,0.099020109,0.000109441,0.007126889,-0.004352591,0.060991313,0.082308121
20220423_104015,0.02068727,0.069296032,7.70E-05,0.005402367,-0.00437069,0.049890928,0.057495296
20220423_104015,0.02068727,0.069296032,7.70E-05,0.005402367,-0.00437069,0.049890928,0.057495296
20220423_104015,0.022042535,0.132106632,5.74E-05,0.002958082,-0.004401293,0.074747071,0.052743435
20220423_104015,0.022042535,0.132106632,5.74E-05,0.002958082,-0.004401293,0.074747071,0.052743435
20220423_104016,0.020726929,0.064905569,6.78E-05,0.002956034,-0.003385733,0.05071355,0.054855969
20220423_104016,0.020726929,0.064905569,6.78E-05,0.002956034,-0.003385733,0.05071355,0.054855969
20220423_104016,0.023204374,0.127924427,6.52E-05,0.004328031,-0.00013554,0.080311611,0.053015683
20220423_104016,0.023204374,0.127924427,6.52E-05,0.004328031,-0.00013554,0.080311611,0.053015683
20220423_104016,0.020998575,0.07166712,0.000101303,0.004411885,-0.001855199,0.071634889,0.053482693
20220423_104016,0.023784722,0.104759105,0.000115866,0.005369739,-0.000350512,0.104684442,0.049583558
20220423_104016,0.023784722,0.104759105,0.000115866,0.005369739,-0.000350512,0.104684442,0.049583558
20220423_104016,0.019788069,0.06684991,0.000108777,0.006049887,0.000640256,0.061783399,0.049538214
20220423_104016,0.019788069,0.06684991,0.000108777,0.006049887,0.000640256,0.061783399,0.049538214
20220423_104016,0.020975392,0.110373206,0.000105888,0.001649077,0.000930206,0.090771146,0.057037082
20220423_104016,0.021128097,0.062446442,8.67E-05,0.003305543,0.005520053,0.056729436,0.054026369
20220423_104016,0.021128097,0.062446442,8.67E-05,0.003305543,0.005520053,0.056729436,0.054026369
20220423_104016,0.022521403,0.092816398,4.40E-05,0.003565019,0.001148609,0.048681773,0.084810644
20220423_104017,0.022521403,0.092816398,4.40E-05,0.003565019,0.001148609,0.048681773,0.084810644
20220423_104017,0.020790879,0.068312474,6.56E-05,0.002664843,0.000453444,0.063446835,0.048431326
