time,mean,max,,hor,ver,hormax,vermax
20220423_134002,0.023857614,0.198476389,0.000115646,0.004048457,-0.009575345,0.061245412,0.048542161
20220423_134002,0.023857614,0.198476389,0.000115646,0.004048457,-0.009575345,0.061245412,0.048542161
20220423_134002,0.02213732,0.072373509,4.22E-05,0.002341023,-0.008650588,0.051622648,0.056365769
20220423_134002,0.02213732,0.072373509,4.22E-05,0.002341023,-0.008650588,0.051622648,0.056365769
20220423_134003,0.023592487,0.124938414,0.000135592,0.001855231,-0.008702597,0.087390117,0.044098284
20220423_134003,0.024555073,0.076838121,9.59E-05,0.006268818,-0.011005854,0.056527108,0.043707795
20220423_134003,0.024555073,0.076838121,9.59E-05,0.006268818,-0.011005854,0.056527108,0.043707795
20220423_134003,0.025165984,0.095260084,0.000126289,0.00744074,-0.007415428,0.092238337,0.076367207
20220423_134003,0.025165984,0.095260084,0.000126289,0.00744074,-0.007415428,0.092238337,0.076367207
20220423_134003,0.01986524,0.075648099,2.64E-05,0.00133077,-0.003806197,0.05026079,0.055808429
20220423_134003,0.022816655,0.104803838,6.09E-05,0.003367859,0.001446563,0.091641277,0.083942391
20220423_134003,0.021674413,0.079459764,0.000106206,0.002925613,-0.004412766,0.066752292,0.049465496
20220423_134003,0.025253674,0.094964087,0.000109029,0.007047163,-0.008148439,0.074770324,0.081798695
20220423_134003,0.02173423,0.065346368,5.42E-05,0.003918082,-0.008934123,0.056302384,0.03993848
20220423_134004,0.025186034,0.191008896,2.79E-05,0.003982387,-0.010720705,0.079478353,0.056433659
20220423_134004,0.025141237,0.083325297,0.00020111,0.008681397,-0.0141781,0.069871068,0.030454572
20220423_134004,0.025141237,0.083325297,0.00020111,0.008681397,-0.0141781,0.069871068,0.030454572
20220423_134004,0.028509307,0.142101914,5.58E-05,0.014615826,-0.013388976,0.102226302,0.051401626
20220423_134004,0.025618956,0.081265494,0.000136765,0.006844878,-0.01442075,0.064305238,0.03611508
20220423_134004,0.025618956,0.081265494,0.000136765,0.006844878,-0.01442075,0.064305238,0.03611508
20220423_134004,0.025210702,0.125402182,0.00010292,0.002544605,-0.012268631,0.115233809,0.056648865
20220423_134004,0.025210702,0.125402182,0.00010292,0.002544605,-0.012268631,0.115233809,0.056648865
20220423_134004,0.022679932,0.079235889,6.86E-05,0.000706214,-0.011413417,0.060952555,0.035589494
20220423_134004,0.024280653,0.146718085,0.000121461,0.00352916,-0.009198749,0.138890296,0.062802605
20220423_134004,0.024280653,0.146718085,0.000121461,0.00352916,-0.009198749,0.138890296,0.062802605
20220423_134005,0.020747852,0.059708927,5.99E-05,0.001782013,-0.004629975,0.052068137,0.052688431
20220423_134005,0.020747852,0.059708927,5.99E-05,0.001782013,-0.004629975,0.052068137,0.052688431
20220423_134005,0.024222776,0.090438575,0.000110693,0.006294139,-0.005510649,0.06894426,0.075951613
20220423_134005,0.021859784,0.064128406,6.62E-05,0.00737273,-0.005930992,0.058065314,0.039986502
20220423_134005,0.021859784,0.064128406,6.62E-05,0.00737273,-0.005930992,0.058065314,0.039986502
20220423_134005,0.023985189,0.21152541,0.000193058,0.005001172,-0.006958264,0.085817456,0.121733107
20220423_134005,0.023985189,0.21152541,0.000193058,0.005001172,-0.006958264,0.085817456,0.121733107
20220423_134005,0.020684908,0.054753829,6.76E-05,0.002977605,-0.006755359,0.05233578,0.045199025
20220423_134005,0.020684908,0.054753829,6.76E-05,0.002977605,-0.006755359,0.05233578,0.045199025
20220423_134005,0.022909658,0.117920771,0.000104687,0.000659447,-0.008265536,0.065733828,0.047138538
20220423_134005,0.022909658,0.117920771,0.000104687,0.000659447,-0.008265536,0.065733828,0.047138538
20220423_134005,0.022909658,0.117920771,0.000104687,0.000659447,-0.008265536,0.065733828,0.047138538
20220423_134005,0.022604388,0.071250759,0.000102604,0.00205642,-0.010017975,0.055363823,0.033738762
20220423_134005,0.022604388,0.071250759,0.000102604,0.00205642,-0.010017975,0.055363823,0.033738762
